Nodo,X,Y,Variable,Observado,Predicho,Residuo,Residuo_absoluto,Residuo_estandarizado,var1.pred,var1.var,observed,residual,zscore,fold
1,587213.774,517578.231,N,23,22.55048675939341,0.4495132406065885,0.4495132406065885,0.0876133966886535,22.55048675939341,26.323518696112885,23,0.4495132406065885,0.0876133966886535,1
2,587211.773,517576.571,N,27,21.010812017954972,5.989187982045028,5.989187982045028,1.3023440772399482,21.010812017954972,21.148735725549,27,5.989187982045028,1.3023440772399482,2
3,587209.772,517574.911,N,21,20.60378726872764,0.39621273127236023,0.39621273127236023,0.08614660467181035,20.60378726872764,21.153416596186105,21,0.39621273127236023,0.08614660467181035,3
4,587207.771,517573.251,N,17,21.418025579484528,-4.418025579484528,4.418025579484528,-0.9604900010416615,21.418025579484528,21.15781209747244,17,-4.418025579484528,-0.9604900010416615,4
5,587205.77,517571.59,N,26,13.137752738860513,12.862247261139487,12.862247261139487,2.79629297236145,13.137752738860513,21.157695659046183,26,12.862247261139487,2.79629297236145,5
6,587203.769,517569.93,N,8,19.51110461926466,-11.51110461926466,11.51110461926466,-2.5026410648496964,19.51110461926466,21.156161282737646,8,-11.51110461926466,-2.5026410648496964,6
7,587201.768,517568.27,N,15,13.038232786777217,1.9617672132227835,1.9617672132227835,0.4265096709795036,13.038232786777217,21.156176310567893,15,1.9617672132227835,0.4265096709795036,7
8,587199.767,517566.61,N,14,12.006003084195328,1.9939969158046722,1.9939969158046722,0.43351672739358704,12.006003084195328,21.15617960962916,14,1.9939969158046722,0.43351672739358704,8
9,587197.766,517564.95,N,5,12.844097653812568,-7.844097653812568,7.844097653812568,-1.7053928401368197,12.844097653812568,21.156173148931057,5,-7.844097653812568,-1.7053928401368197,9
10,587195.765,517563.29,N,11,8.685058435732202,2.314941564267798,2.314941564267798,0.5032944784370653,8.685058435732202,21.156105965589028,11,2.314941564267798,0.5032944784370653,10
11,587193.764,517561.63,N,8,12.745260098484376,-4.745260098484376,4.745260098484376,-1.0316851565666398,12.745260098484376,21.15561621532879,8,-4.745260098484376,-1.0316851565666398,11
12,587191.763,517559.97,N,11,10.239118991943927,0.7608810080560726,0.7608810080560726,0.16543604898611966,10.239118991943927,21.15305940384639,11,0.7608810080560726,0.16543604898611966,12
13,587189.762,517558.31,N,8,14.023143126953865,-6.023143126953865,6.023143126953865,-1.3331525718913915,14.023143126953865,20.41205157702193,8,-6.023143126953865,-1.3331525718913915,13
14,587188.015,517556.735,N,15,12.333674762435503,2.6663252375644966,2.6663252375644966,0.5323191253872286,12.333674762435503,25.088928100115673,15,2.6663252375644966,0.5323191253872286,14
15,587190.888,517553.272,N,16,16.89546196014445,-0.8954619601444485,0.8954619601444485,-0.17835969908042457,16.89546196014445,25.20581944399619,16,-0.8954619601444485,-0.17835969908042457,15
16,587192.635,517554.846,N,18,14.910595258940718,3.0894047410592815,3.0894047410592815,0.6848122257917045,14.910595258940718,20.351977188255635,18,3.0894047410592815,0.6848122257917045,16
17,587194.636,517556.506,N,15,17.467392110651602,-2.467392110651602,2.467392110651602,-0.5364539696123514,17.467392110651602,21.15492144216495,15,-2.467392110651602,-0.5364539696123514,17
18,587196.637,517558.167,N,20,14.42520550560123,5.57479449439877,5.57479449439877,1.2119987030788895,14.42520550560123,21.1569672953355,20,5.57479449439877,1.2119987030788895,18
19,587198.638,517559.827,N,15,13.176263383630666,1.8237366163693345,1.8237366163693345,0.396501755957425,13.176263383630666,21.15602178968697,15,1.8237366163693345,0.396501755957425,19
20,587200.639,517561.487,N,7,16.455839265542068,-9.455839265542068,9.455839265542068,-2.055804636169701,16.455839265542068,21.15614233858261,7,-9.455839265542068,-2.055804636169701,20
21,587202.64,517563.147,N,21,14.815455574644952,6.184544425355048,6.184544425355048,1.3445879298286187,14.815455574644952,21.15616816149253,21,6.184544425355048,1.3445879298286187,21
22,587204.641,517564.807,N,23,16.45586667595381,6.544133324046189,6.544133324046189,1.4227663674264812,16.45586667595381,21.15617235683183,23,6.544133324046189,1.4227663674264812,22
23,587206.642,517566.467,N,13,18.71145945322139,-5.711459453221391,5.711459453221391,-1.2417343128880964,18.71145945322139,21.156159455909663,13,-5.711459453221391,-1.2417343128880964,23
24,587208.643,517568.127,N,17,13.953760988217287,3.0462390117827134,3.0462390117827134,0.662286588788975,13.953760988217287,21.156120393484972,17,3.0462390117827134,0.662286588788975,24
25,587210.644,517569.787,N,12,18.11352505536385,-6.113525055363851,6.113525055363851,-1.329159493680218,18.11352505536385,21.155787575122503,12,-6.113525055363851,-1.329159493680218,25
26,587212.645,517571.447,N,19,15.989077450763203,3.0109225492367973,3.0109225492367973,0.6546502064728593,15.989077450763203,21.15341793560761,19,3.0109225492367973,0.6546502064728593,26
27,587214.646,517573.107,N,18,21.472317678385483,-3.472317678385483,3.472317678385483,-0.7550165703974887,21.472317678385483,21.1507580094821,18,-3.472317678385483,-0.7550165703974887,27
28,587216.647,517574.768,N,24,18.465085360822783,5.534914639177217,5.534914639177217,1.0787461141441625,18.465085360822783,26.3259084280842,24,5.534914639177217,1.0787461141441625,28
1,587213.774,517578.231,P,33,31.763935936167726,1.2360640638322735,1.2360640638322735,0.1700610780933649,31.763935936167726,52.82896530711746,33,1.2360640638322735,0.1700610780933649,1
2,587211.773,517576.571,P,38,29.579884241741894,8.420115758258106,8.420115758258106,1.2917132281737043,29.579884241741894,42.49168076786652,38,8.420115758258106,1.2917132281737043,2
3,587209.772,517574.911,P,29,29.379631096728435,-0.37963109672843487,0.37963109672843487,-0.05823195439318015,29.379631096728435,42.50116422002548,29,-0.37963109672843487,-0.05823195439318015,3
4,587207.771,517573.251,P,25,30.01736304523002,-5.01736304523002,5.01736304523002,-0.7695379340770124,30.01736304523002,42.50998848681138,25,-5.01736304523002,-0.7695379340770124,4
5,587205.77,517571.59,P,37,18.82236822482281,18.17763177517719,18.17763177517719,2.7880013695174077,18.82236822482281,42.50975850734242,37,18.17763177517719,2.7880013695174077,5
6,587203.769,517569.93,P,11,27.626453257512747,-16.626453257512747,16.626453257512747,-2.5501810524949557,27.626453257512747,42.506681619840556,11,-16.626453257512747,-2.5501810524949557,6
7,587201.768,517568.27,P,21,18.38995895376233,2.6100410462376686,2.6100410462376686,0.40033041185014473,18.38995895376233,42.506711534635784,21,2.6100410462376686,0.40033041185014473,7
8,587199.767,517566.61,P,20,17.23761955485964,2.7623804451403586,2.7623804451403586,0.4236963313286501,17.23761955485964,42.506718098361894,20,2.7623804451403586,0.4236963313286501,8
9,587197.766,517564.95,P,8,18.34408497875674,-10.34408497875674,10.34408497875674,-1.5865850499434364,18.34408497875674,42.50670529490523,8,-10.34408497875674,-1.5865850499434364,9
10,587195.765,517563.29,P,16,12.474739943181653,3.5252600568183468,3.5252600568183468,0.5407084081423086,12.474739943181653,42.506571246042455,16,3.5252600568183468,0.5407084081423086,10
11,587193.764,517561.63,P,11,18.331311135466272,-7.331311135466272,7.331311135466272,-1.1244978268224166,18.331311135466272,42.5055912087675,11,-7.331311135466272,-1.1244978268224166,11
12,587191.763,517559.97,P,16,14.215419102283324,1.7845808977166762,1.7845808977166762,0.2737407458223499,14.215419102283324,42.500455784471924,16,1.7845808977166762,0.2737407458223499,12
13,587189.762,517558.31,P,11,19.88285666407935,-8.882856664079348,8.882856664079348,-1.3870169536950216,19.88285666407935,41.01491062076616,11,-8.882856664079348,-1.3870169536950216,13
14,587188.015,517556.735,P,21,17.347661358940613,3.652338641059387,3.652338641059387,0.5146700975744832,17.347661358940613,50.35982396436997,21,3.652338641059387,0.5146700975744832,14
15,587190.888,517553.272,P,23,23.60536212641813,-0.6053621264181288,0.6053621264181288,-0.08510823478432802,23.60536212641813,50.59263823687829,23,-0.6053621264181288,-0.08510823478432802,15
16,587192.635,517554.846,P,25,21.146579995158213,3.8534200048417873,3.8534200048417873,0.6025762599789384,21.146579995158213,40.89485383200329,25,3.8534200048417873,0.6025762599789384,16
17,587194.636,517556.506,P,21,24.432802513931474,-3.432802513931474,3.432802513931474,-0.5265420812229937,24.432802513931474,42.50416293514424,21,-3.432802513931474,-0.5265420812229937,17
18,587196.637,517558.167,P,28,20.248245778846464,7.751754221153536,7.751754221153536,1.1889487333695303,20.248245778846464,42.50829949280309,28,7.751754221153536,1.1889487333695303,18
19,587198.638,517559.827,P,21,18.25288417097832,2.7471158290216806,2.7471158290216806,0.4213565917212916,18.25288417097832,42.50640323473559,21,2.7471158290216806,0.4213565917212916,19
20,587200.639,517561.487,P,9,23.41451623193607,-14.41451623193607,14.41451623193607,-2.2109130464508167,23.41451623193607,42.506644044142796,9,-14.41451623193607,-2.2109130464508167,20
21,587202.64,517563.147,P,30,20.452619157098397,9.547380842901603,9.547380842901603,1.4643860236046204,20.452619157098397,42.506695426229655,30,9.547380842901603,1.4643860236046204,21
22,587204.641,517564.807,P,32,23.59088629591941,8.409113704080589,8.409113704080589,1.2897974403415768,23.59088629591941,42.50670375220331,32,8.409113704080589,1.2897974403415768,22
23,587206.642,517566.467,P,19,26.209582767716764,-7.209582767716764,7.209582767716764,-1.10581263773941,26.209582767716764,42.506678094988345,19,-7.209582767716764,-1.10581263773941,23
24,587208.643,517568.127,P,24,19.653098495788083,4.3469015042119175,4.3469015042119175,0.6667324817327553,19.653098495788083,42.50660040804867,24,4.3469015042119175,0.6667324817327553,24
25,587210.644,517569.787,P,16,25.71823096629784,-9.718230966297838,9.718230966297838,-1.4906045395714171,25.71823096629784,42.50593304557482,16,-9.718230966297838,-1.4906045395714171,25
26,587212.645,517571.447,P,27,22.037547270551798,4.962452729448202,4.962452729448202,0.7611950503452458,22.037547270551798,42.50116693585607,27,4.962452729448202,0.7611950503452458,26
27,587214.646,517573.107,P,25,30.401176805650216,-5.401176805650216,5.401176805650216,-0.8285443071891471,30.401176805650216,42.49573181830422,25,-5.401176805650216,-0.8285443071891471,27
